106 3.2216e-07 256.7 1.6398 93.589 0.08691 2.1489e+09 4.878
107 2.6377e-07 239.23 1.4827 93.314 0.081849 2.149e+09 4.7338
108 2.1595e-07 222.95 1.3407 93.04 0.077082 2.149e+09 4.5939
109 1.7681e-07 207.78 1.2123 92.768 0.072593 2.1491e+09 4.4582
110 1.4476e-07 193.64 1.0962 92.497 0.068366 2.1492e+09 4.3264
111 1.1852e-07 180.47 0.99125 92.229 0.064384 2.1492e+09 4.1985
112 9.7036e-08 168.2 0.89639 91.961 0.060635 2.1493e+09 4.0745
113 7.9446e-08 156.76 0.81063 91.695 0.057104 2.1493e+09 3.954
114 6.5045e-08 146.1 0.73309 91.431 0.053778 2.1494e+09 3.8372
115 5.3255e-08 136.17 0.66299 91.168 0.050647 2.1494e+09 3.7238
116 4.3602e-08 126.92 0.59961 90.907 0.047697 2.1495e+09 3.6137
117 3.5698e-08 118.3 0.5423 90.648 0.04492 2.1495e+09 3.5069
118 2.9227e-08 110.26 0.49048 90.389 0.042304 2.1495e+09 3.4033
119 2.3929e-08 102.77 0.44363 90.133 0.03984 2.1496e+09 3.3027
120 1.9592e-08 95.788 0.40126 89.878 0.03752 2.1496e+09 3.2051
121 1.604e-08 89.283 0.36295 89.624 0.035335 2.1496e+09 3.1104
122 1.3133e-08 83.22 0.3283 89.372 0.033277 2.1497e+09 3.0185
123 1.0752e-08 77.57 0.29698 89.121 0.031339 2.1497e+09 2.9293
124 8.8032e-09 72.304 0.26865 88.872 0.029514 2.1497e+09 2.8427
125 7.2075e-09 67.396 0.24303 88.624 0.027795 2.1497e+09 2.7587
126 5.901e-09 62.822 0.21986 88.377 0.026177 2.1497e+09 2.6771
127 4.8314e-09 58.559 0.1989 88.132 0.024652 2.1498e+09 2.598
128 3.9556e-09 54.586 0.17995 87.889 0.023217 2.1498e+09 2.5212
129 3.2386e-09 50.882 0.16281 87.647 0.021865 2.1498e+09 2.4467
130 2.6515e-09 47.43 0.14731 87.406 0.020591 2.1498e+09 2.3744
131 2.1709e-09 44.213 0.13329 87.167 0.019392 2.1498e+09 2.3042
132 1.7774e-09 41.214 0.12061 86.929 0.018263 2.1498e+09 2.2361
133 1.4552e-09 38.419 0.10915 86.692 0.017199 2.1498e+09 2.17
134 1.1914e-09 35.814 0.098775 86.457 0.016198 2.1499e+09 2.1059
135 9.7546e-10 33.385 0.089393 86.223 0.015254 2.1499e+09 2.0437
136 7.9864e-10 31.122 0.080908 85.99 0.014366 2.1499e+09 1.9833
137 6.5387e-10 29.012 0.073232 85.759 0.01353 2.1499e+09 1.9247
138 5.3535e-10 27.045 0.06629 85.529 0.012742 2.1499e+09 1.8678
139 4.3831e-10 25.212 0.06001 85.301 0.012 2.1499e+09 1.8126
140 3.5886e-10 23.503 0.05433 85.073 0.011301 2.1499e+09 1.759
141 2.9381e-10 21.91 0.049192 84.847 0.010643 2.1499e+09 1.707
142 2.4055e-10 20.425 0.044544 84.623 0.010023 2.1499e+09 1.6566
143 1.9695e-10 19.041 0.04034 84.4 0.0094392 2.1499e+09 1.6076
144 1.6125e-10 17.751 0.036537 84.177 0.0088895 2.1499e+09 1.5601
145 1.3202e-10 16.548 0.033097 83.957 0.0083718 2.1499e+09 1.514
146 1.0809e-10 15.427 0.029985 83.737 0.0078843 2.1499e+09 1.4692
147 8.8495e-11 14.382 0.027169 83.519 0.0074251 2.1499e+09 1.4258
